"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"37","140.60552136144338","77.61447673411357","0.00927734375","0.011962890625","0.006591796875","1560","0.0002836819164797596","24","0.0002836819164797596","0","0.0002836819164797596","0.0002836819164797596","45:68;25:68","45:0.0019038047295820981;25:0.002289125958454291","45:0.0020293997051387402;25:0.0015277192172512832","0.00927734375","Yes"
"38","85.81521042167387","122.04640898732325","0.0125732421875","0.016845703125","0.00830078125","1560","0.00025634538959604753","24","0.00025634538959604753","0","0.00025634538959604753","0.00025634538959604753","29:68;49:68","29:0.003974059799125074;49:0.03960015012161561","29:0.001979196508935299;49:0.003054696378002819","0.0125732421875","Yes"
"39","104.73937040614277","134.16045657128953","0.0185546875","0.021240234375","0.015869140625","1560","0.0005945994546789302","24","0.0005945994546789302","0","0.0005945994546789302","0.0005945994546789302","53:68;33:68","53:0.006468896860787943;33:0.0017525667895158248","53:0.007615714801906676;33:0.001981237846671813","0.0185546875","Yes"
"40","118.99063357612907","148.67231361658642","0.0240478515625","0.029052734375","0.01904296875","1560","0.0003497600485249823","24","0.0003497600485249823","0","0.0003497600485249823","0.0003497600485249823","41:68","41:0.0024968701637513024","41:0.0018793716425934692","0.0240478515625","Yes"
"41","80.04608982678218","63.22937698152701","0.111572265625","0.107421875","0.11572265625","1560","0.0001505029158319188","24","0.0001505029158319188","0","0.0001505029158319188","0.0001505029158319188","40:68;42:68;36:68","40:0.0024968701637513024;42:0.002044229285679794;36:0.0017640010761230396","40:0.0018793716425934692;42:0.0024050064380623515;36:0.0022628411061763054","0.111572265625","Yes"
"42","155.99089466994977","42.66148961232183","0.0242919921875","0.019775390625","0.02880859375","1560","0.0002223056834098118","24","0.0002223056834098118","0","0.0002223056834098118","0.0002223056834098118","41:68;43:68","41:0.002044229285679794;43:0.002898104450760358","41:0.0024050064380623515;43:0.006837490691137316","0.0242919921875","Yes"
"43","128.47388495151338","61.42194229880519","0.141357421875","0.127685546875","0.155029296875","1560","0.0008228679888182702","24","0.0008228679888182702","0","0.0008228679888182702","0.0008228679888182702","42:68;56:68;44:68","42:0.002898104450760358;56:0.0026442546759002372;44:0.002579003880322922","42:0.006837490691137316;56:0.00555183011067506;44:0.033192408545124785","0.141357421875","Yes"
"44","140.11205368423884","149.0052259771223","0.0087890625","0.00634765625","0.00048828125","1560","0.0005023035091312935","24","0.0005023035091312935","0","0.0005023035091312935","0.0005023035091312935","45:68;43:68","45:0.0018922626334385018;43:0.002579003880322922","45:0.0023698528208583314;43:0.033192408545124785","0.0087890625","Yes"
"45","156.69670107321141","154.926662225945","0.0428466796875","0.0546875","0.031005859375","1560","0.0001942854474920876","24","0.0001942854474920876","0","0.0001942854474920876","0.0001942854474920876","44:68;46:68;37:68","44:0.0018922626334385018;46:0.002625612804025901;37:0.0019038047295820981","44:0.0023698528208583314;46:0.0028840032979642605;37:0.0020293997051387402","0.0428466796875","Yes"
"46","92.2885413796002","12.281582692383008","0.0091552734375","0.013916015625","0.00439453125","1560","0.00037788028939016936","24","0.00037788028939016936","0","0.00037788028939016936","0.00037788028939016936","45:68;47:68","45:0.002625612804025901;47:0.002740604272647801","45:0.0028840032979642605;47:0.0033455147410547947","0.0091552734375","Yes"
"47","164.6240079939949","60.197874875541004","0.027099609375","0.037109375","0.01708984375","1560","0.0002511037930953188","24","0.0002511037930953188","0","0.0002511037930953188","0.0002511037930953188","48:68;57:68;46:68","48:0.0017779891764376776;57:0.00196527873049665;46:0.002740604272647801","48:0.007836286020103028;57:0.007290297082619052;46:0.0033455147410547947","0.027099609375","Yes"
"48","100.13920019041127","36.60626741125483","0.0108642578125","0.011474609375","0.01025390625","1560","0.00042153585269969184","24","0.00042153585269969184","0","0.00042153585269969184","0.00042153585269969184","47:68;49:68","47:0.0017779891764376776;49:0.002696883106187653","47:0.007836286020103028;49:0.014006739562447829","0.0108642578125","Yes"
"49","82.1805354972128","27.950172820831543","0.0440673828125","0.052734375","0.035400390625","1560","0.0003541360001240019","24","0.0003541360001240019","0","0.0003541360001240019","0.0003541360001240019","48:68;50:68;38:68","48:0.002696883106187653;50:0.0031896104980829454;38:0.03960015012161561","48:0.014006739562447829;50:0.03490349594074538;38:0.003054696378002819","0.0440673828125","Yes"
"50","165.48912316017356","155.86701164493493","0.00732421875","0.008544921875","0.006103515625","1560","0.00025738473983904467","24","0.00025738473983904467","0","0.00025738473983904467","0.00025738473983904467","49:68;51:68","49:0.0031896104980829454;51:0.0022773574262246465","49:0.03490349594074538;51:0.002770312943503106","0.00732421875","Yes"
"51","49.929856263425776","43.38982787093942","0.130859375","0.098388671875","0.163330078125","1560","0.00025221453836135144","24","0.00025221453836135144","0","0.00025221453836135144","0.00025221453836135144","50:68;52:68;58:68","50:0.0022773574262246465;52:0.0016139792141024456;58:0.0025186491228239016","50:0.002770312943503106;52:0.003796290405188668;58:0.00204649696374104","0.130859375","Yes"
"52","133.62027207169635","99.95048037359669","0.01416015625","0.018310546875","0.010009765625","1560","0.00030374155087503434","24","0.00030374155087503434","0","0.00030374155087503434","0.00030374155087503434","51:68;53:68","51:0.0016139792141024456;53:0.0021945780432341133","51:0.003796290405188668;53:0.006341559289157195","0.01416015625","Yes"
"53","201.75066455164355","13.789824286233175","0.0980224609375","0.10400390625","0.092041015625","1560","0.0001514665073001183","24","0.0001514665073001183","0","0.0001514665073001183","0.0001514665073001183","39:68;52:68;54:68","39:0.006468896860787943;52:0.0021945780432341133;54:0.004469870965511297","39:0.007615714801906676;52:0.006341559289157195;54:0.012027992489040323","0.0980224609375","Yes"
"54","120.1806529495644","150.5531443678867","0.0078125","0.0146484375","0.0009765625","1560","0.000556536419986221","24","0.000556536419986221","0","0.000556536419986221","0.000556536419986221","53:68;55:68","53:0.004469870965511297;55:0.0021422077974440623","53:0.012027992489040323;55:0.0026047119456981682","0.0078125","Yes"
"55","178.8031611070357","169.46426198399647","0.0841064453125","0.109619140625","0.05859375","1560","0.000726616426238983","24","0.000726616426238983","0","0.000726616426238983","0.000726616426238983","59:68;54:68","59:0.002244617463207227;54:0.0021422077974440623","59:0.012013486611332141;54:0.0026047119456981682","0.0841064453125","Yes"
"56","109.66159518394446","119.90238645579326","0.0125732421875","0.01220703125","0.012939453125","1560","0.00019703147894582621","24","0.00019703147894582621","0","0.00019703147894582621","0.00019703147894582621","63:68;43:68","63:0.005179496270902112;43:0.0026442546759002372","63:0.006092133502715091;43:0.00555183011067506","0.0125732421875","Yes"
"57","124.38946052489332","64.62205771519672","0.009521484375","0.017578125","0.00146484375","1560","0.0006164150684814886","24","0.0006164150684814886","0","0.0006164150684814886","0.0006164150684814886","47:68;67:68","47:0.00196527873049665;67:0.005617239752712444","47:0.007290297082619052;67:0.006784549685646429","0.009521484375","Yes"
